Name,Price,Rating
Esper Grüner Veltliner 2016,18.43,3.5
Bordeaux Blanc 2017,18.3,3.5
Auf Der Mauer Riesling Trocken 2018,19.44,3.9
Charta Blanc 2016,18.81,4.1
Feldstück Chardonnay 2016,19.4,3.8
Chardonnay 2019,14.73,3.8
Riesling Villa Loosen 2018,6.95,3.9
Biscondola 2018,13.3,3.9
Chardonnay delle Venezie 2019,6.4,3.8
Chardonnay 2014,58.51,3.7
Alte Reben Grüner Veltliner 2018,12.9,3.9
Castel Ringberg Sauvignon 2018,19.3,3.8
Fuchslahn Gewürztraminer 2016,18.9,3.9
Sancerre 2018,19.5,4.1
Pinot Gris 2016,18.97,3.4
Vieilles Vignes Chassagne-Montrachet 2017,52.9,4.3
Hermitage Blanc 2016,52.01,4.0
A Le Grand 2017,13.5,3.8
Der kleine Bär Weiss 2019,6.9,3.7
Riesling Kabinett 2017,13.52,3.9
Grüner Veltliner 2019,14.52,3.8
Wehlener Klosterberg Pinot Blanc 2017,27.5,3.8
Zeltinger Sonnenuhr Riesling Spätlese 2018,21.45,4.1
Curiós Xarel-lo 2019,8.95,3.5
Ried Alte Setzen Erste Lage Grüner Veltliner 2018,13.15,3.8
Meursault-Blagny Premier Cru Château de Blagny 2017,53.51,4.1
Altos R Blanco 2017,7.11,3.3
Dom Riesling Feinherb 2016,9.13,3.6
Recit Roero Arneis 2019,8.65,3.7
Ribolla Gialla 2018,17.09,3.6
Luberon La Ciboise Blanc 2018,7.66,3.6
Grauburgunder S 2018,20.5,4.0
Verdeo Verdejo 2019,7.63,3.5
Pinot Grigio 2019,5.45,3.7
Riesling 2016,27.5,4.0
Nierstein Riesling 2018,27.26,4.1
Domaine San de Guilhem Colombard - Sauvignon Blanc Gascogne Blanc Sec 2016,5.31,3.5
Memòries de Biniagual Blanc 2018,14.13,3.5
Diel de Diel Weisses Cuvée Trocken 2018,10.63,4.0
Essence du Cap Sauvignon Blanc 2017,8.75,3.3
Dorna Velha Branco 2017,8.77,3.8
SL Riesling Kabinett 2017,11.5,3.8
Fendant 2016,17.59,3.5
Rausch GG 2018,41.1,4.0
Wechselspiel 2018,6.77,3.8
Cirò Bianco 2019,6.7,3.8
Viognier Principauté d'Orange 2019,14.9,4.0
Martin Nittnaus Elektra 2018,18.06,3.7
Karneid Kerner 2017,13.9,3.8
Lagar de Darei Private Selection Branco 2015,11.7,3.9
Ried Schütt Dürnsteiner Riesling Smaragd 2018,42.0,4.1
Qvinterra Scheurebe Trocken 2018,10.7,3.9
Himmelspfad Silvaner GG Retzstadter Langenberg 2015,35.0,4.2
Moscato 2019,6.05,3.6
Reserve Chardonnay 2015,61.0,4.2
Molino delle Balze Chardonnay 2018,15.5,3.9
Riesling Alsace Grand Cru 'Geisberg' 2013,71.39,4.3
Verdejo Fermentado en Barrica 2018,19.65,3.9
Zeltinger Sonnenuhr Riesling Auslese*** 2018,82.86,4.4
Villa Mura Chardonnay 2018,4.57,3.3
Riesling Trocken 2015,9.37,3.7
Chardonnay Réserve 2017,29.41,4.0
Bâtard-Montrachet Grand Cru 2015,520.0,4.6
Estate Gewürztraminer 2012,16.95,3.9
1000-Eimerberg Smaragd Riesling 2018,28.24,4.3
Pouilly-Fumé 2018,19.9,3.8
Sauvignon Blanc 2017,6.4,3.4
Splattered Toad Sauvignon Blanc 2019,9.5,3.5
Chardonnay Unwooded 2019,10.5,3.4
Fiano Salento Acante 2019,8.89,3.8
RS Weissburgunder 2017,16.3,3.7
"Weissburgunder Trocken ""Vom Kalk"" 2018",9.7,3.8
Grünschiefer Riesling 2018,12.57,3.6
Terroir Selection Chenin Blanc 2017,17.9,3.9
Blanco Sensación 2018,11.99,3.9
Saleit Chardonnay 2018,11.6,3.5
Crocodile's Lair Kaaimansgat Chardonnay 2018,17.5,4.0
Steinbuckel Riesling GG 2016,27.0,4.0
Picpoul de Pinet 2019,10.42,3.9
Chardonnay 2017,6.14,3.5
Grüner Veltliner 2016,26.7,3.5
Calaventana Alcamo 2017,7.99,3.4
Talò Verdeca 2019,8.9,3.6
Verdejo 2019,7.95,3.4
Himmelspfad Silvaner GG Retzstadter Langenberg 2017,42.89,4.1
Trebbiano d'Abruzzo 2017,7.3,3.3
Nierstein Riesling Trocken 2016,11.69,3.7
Vitus Grauburgunder 2017,12.9,3.8
Dalila Riserva 2018,8.5,3.8
Grüner Veltliner L & T (Leicht und Trocken) 2015,10.9,3.5
Erdeluftgrasundreben WB 2017,30.71,4.0
Scharzhofberger P Riesling 2018,37.83,4.1
Avesso 2017,8.68,3.8
Doss Chardonnay 2018,10.86,3.6
Weisser Burgunder Trocken 2018,11.0,3.6
Pouilly-Fuissé Pentacrine 2015,23.49,3.9
Roero Pradalupo Arneis 2019,11.07,4.1
Pouilly-Fuissé 'Les Chailloux' 2017,25.9,3.9
Bronzelack Riesling Trocken 2019,23.28,4.2
Riesling Trocken 2019,13.5,4.0
Grauer Burgunder Trocken 2017,11.4,3.3
1769 Clos Venturi Blanc 2018,15.9,3.7
Faß 6 Senior Ayler Riesling 2019,16.11,4.2
Vignes Blanches Pouilly-Fuissé 2017,25.15,4.1
Sauvignon Blanc 2019,13.5,4.0
Balbino Vermentino di Maremma Toscana 2019,10.6,3.9
Alte Reben Riesling Trocken 2019,13.41,4.3
Grauer Burgunder Trocken 2018,9.73,3.9
Riesling Auslese Paradies 2015,13.5,4.1
Barrel Selection Viognier 2016,14.95,4.2
Montrachet Grand Cru Marquis de Laguiche 2017,681.37,4.9
Weisser Burgunder II 2018,13.0,3.8
Sauvignon Blanc Trocken 2019,9.9,3.9
Morstein Riesling 2016,27.69,3.7
Graacher Himmelreich Riesling Kabinett 2017,18.52,4.1
Baronne Charlotte Graves Blanc 2016,16.59,3.8
Pošip Majstor 2016,28.9,4.1
Grau - und Weissburgunder Langenloiser Spiegel 2016,20.54,3.9
Sauvignon Blanc 2019,9.95,3.8
Chardonnay 2019,6.5,3.9
Ürziger Würzgarten Riesling Auslese 2015,99.95,4.5
Oberbergener Bassgeige Chardonnay 2018,13.06,3.8
Fiano Di Avellino Pietracalda 2019,18.9,4.0
Viognier 2015,18.9,4.1
